TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00001,02-02-2024,271.64,SBI Bank,HDFC Bank,5557.02,Delhi,Female,Transfer,Success,12:14.0,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00002,03-03-2024,1064.63,ICICI Bank,SBI Bank,9753.32,Bangalore,Male,Payment,Success,15:02.0,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,1.23457E+11,9.87654E+11
TXN00003,04-04-2024,144.15,Axis Bank,Axis Bank,7597.35,Hyderabad,Female,Transfer,Success,29:39.0,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00004,05-05-2024,612.89,HDFC Bank,ICICI Bank,2327.84,Mumbai,Male,Payment,Success,27:36.0,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,1.23457E+11,9.87654E+11
TXN00005,06-06-2024,743.32,SBI Bank,HDFC Bank,1136.84,Delhi,Female,Transfer,Failed,06:22.0,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00006,07-07-2024,665.72,ICICI Bank,SBI Bank,765.1,Bangalore,Male,Payment,Success,06:54.0,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,1.23457E+11,9.87654E+11
TXN00007,08-08-2024,877.72,Axis Bank,Axis Bank,7548.03,Hyderabad,Female,Transfer,Success,36:49.0,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00008,09-09-2024,512.54,HDFC Bank,ICICI Bank,6875.7,Mumbai,Male,Payment,Success,14:17.0,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,1.23457E+11,9.87654E+11
TXN00009,10-10-2024,171.02,SBI Bank,HDFC Bank,5705.81,Delhi,Female,Transfer,Success,02:48.0,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00010,11-11-2024,288.03,ICICI Bank,SBI Bank,4237.42,Bangalore,Male,Payment,Failed,03:01.0,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,1.23457E+11,9.87654E+11
TXN00011,12-12-2024,761.47,Axis Bank,Axis Bank,2.1,Hyderabad,Female,Transfer,Success,32:18.0,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00012,13-01-2024,881.5,HDFC Bank,ICICI Bank,7861.46,Mumbai,Male,Payment,Success,14:28.0,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,1.23457E+11,9.87654E+11
TXN00013,14-02-2024,1202.84,SBI Bank,HDFC Bank,5598.1,Delhi,Female,Transfer,Success,51:36.0,Tablet,Phone Number,Swiggy,Bill Payment,33,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00014,15-03-2024,1959.25,ICICI Bank,SBI Bank,3249.57,Bangalore,Male,Payment,Success,59:53.0,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,1.23457E+11,9.87654E+11
TXN00015,16-04-2024,1057.03,Axis Bank,Axis Bank,2883.52,Hyderabad,Female,Transfer,Failed,19:54.0,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00016,17-05-2024,445.86,HDFC Bank,ICICI Bank,58.02,Mumbai,Male,Payment,Success,58:44.0,Tablet,Phone Number,Amazon,Food,36,Instant,INR,1.23457E+11,9.87654E+11
TXN00017,18-06-2024,1169.9,SBI Bank,HDFC Bank,8192.47,Delhi,Female,Transfer,Success,44:51.0,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00018,19-07-2024,468.41,ICICI Bank,SBI Bank,8947.62,Bangalore,Male,Payment,Success,08:57.0,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,1.23457E+11,9.87654E+11
TXN00019,20-08-2024,1680.49,Axis Bank,Axis Bank,8755.97,Hyderabad,Female,Transfer,Success,19:38.0,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00020,21-09-2024,1041.4,HDFC Bank,ICICI Bank,5189.37,Mumbai,Male,Payment,Failed,48:15.0,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,1.23457E+11,9.87654E+11
TXN00021,22-10-2024,82.31,SBI Bank,HDFC Bank,5917.7,Delhi,Female,Transfer,Success,29:39.0,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00022,23-11-2024,352.02,ICICI Bank,SBI Bank,4431.16,Bangalore,Male,Payment,Success,01:29.0,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,1.23457E+11,9.87654E+11
TXN00023,24-12-2024,625.1,Axis Bank,Axis Bank,6280.01,Hyderabad,Female,Transfer,Success,52:19.0,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00024,25-01-2024,789.62,HDFC Bank,ICICI Bank,2415.86,Mumbai,Male,Payment,Success,18:02.0,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,1.23457E+11,9.87654E+11
TXN00025,26-02-2024,1912.19,SBI Bank,HDFC Bank,1482.52,Delhi,Female,Transfer,Failed,03:35.0,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00026,27-03-2024,316.76,ICICI Bank,SBI Bank,7736.92,Bangalore,Male,Payment,Success,21:35.0,Laptop,QR Code,Amazon,Food,46,Instant,EUR,1.23457E+11,9.87654E+11
TXN00027,28-04-2024,556.08,Axis Bank,Axis Bank,766.4,Hyderabad,Female,Transfer,Success,21:19.0,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00028,29-05-2024,976.21,HDFC Bank,ICICI Bank,7429.94,Mumbai,Male,Payment,Success,20:18.0,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,1.23457E+11,9.87654E+11
TXN00029,30-06-2024,734.98,SBI Bank,HDFC Bank,4027.72,Delhi,Female,Transfer,Success,16:46.0,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00030,01-07-2024,729.09,ICICI Bank,SBI Bank,44.32,Bangalore,Male,Payment,Failed,21:33.0,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,1.23457E+11,9.87654E+11
TXN00031,02-08-2024,1288.17,Axis Bank,Axis Bank,8662.02,Hyderabad,Female,Transfer,Success,26:46.0,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00032,03-09-2024,476.89,HDFC Bank,ICICI Bank,5026.58,Mumbai,Male,Payment,Success,39:01.0,Laptop,QR Code,Zomato,Travel,52,Instant,INR,1.23457E+11,9.87654E+11
TXN00033,04-10-2024,240.93,SBI Bank,HDFC Bank,3021.32,Delhi,Female,Transfer,Success,55:35.0,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00034,05-11-2024,261.74,ICICI Bank,SBI Bank,6625.38,Bangalore,Male,Payment,Success,05:34.0,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,1.23457E+11,9.87654E+11
TXN00035,06-12-2024,261.36,Axis Bank,Axis Bank,8879.92,Hyderabad,Female,Transfer,Failed,31:30.0,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00036,07-01-2024,714.35,HDFC Bank,ICICI Bank,9272.72,Mumbai,Male,Payment,Success,16:49.0,Mobile,UPI ID,Amazon,Food,56,Instant,INR,1.23457E+11,9.87654E+11
TXN00037,08-02-2024,783.66,SBI Bank,HDFC Bank,8870.81,Delhi,Female,Transfer,Success,28:54.0,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00038,09-03-2024,631.61,ICICI Bank,SBI Bank,7100.92,Bangalore,Male,Payment,Success,42:10.0,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,1.23457E+11,9.87654E+11
TXN00039,10-04-2024,432.82,Axis Bank,Axis Bank,31.99,Hyderabad,Female,Transfer,Success,55:18.0,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00040,11-05-2024,1196.32,HDFC Bank,ICICI Bank,7098.38,Mumbai,Male,Payment,Failed,59:06.0,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,1.23457E+11,9.87654E+11
TXN00041,12-06-2024,58.41,SBI Bank,HDFC Bank,1134.52,Delhi,Female,Transfer,Success,29:40.0,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00042,13-07-2024,1575.41,ICICI Bank,SBI Bank,6857.86,Bangalore,Male,Payment,Success,43:54.0,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,1.23457E+11,9.87654E+11
TXN00043,14-08-2024,1424.68,Axis Bank,Axis Bank,1945.98,Hyderabad,Female,Transfer,Success,23:22.0,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00044,15-09-2024,40.37,HDFC Bank,ICICI Bank,6332.93,Mumbai,Male,Payment,Success,18:37.0,Laptop,QR Code,IRCTC,Others,24,Instant,INR,1.23457E+11,9.87654E+11
TXN00045,16-10-2024,1237.03,SBI Bank,HDFC Bank,1343.49,Delhi,Female,Transfer,Failed,05:36.0,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00046,17-11-2024,309.54,ICICI Bank,SBI Bank,8161.38,Bangalore,Male,Payment,Success,40:52.0,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,1.23457E+11,9.87654E+11
TXN00047,18-12-2024,1006.09,Axis Bank,Axis Bank,4530.16,Hyderabad,Female,Transfer,Success,36:34.0,Laptop,QR Code,Zomato,Travel,27,Scheduled,GBP,1.23457E+11,9.87654E+11
TXN00048,19-01-2024,1105.85,HDFC Bank,ICICI Bank,4943.41,Mumbai,Male,Payment,Success,26:49.0,Mobile,UPI ID,Swiggy,Bill Payment,28,Instant,INR,1.23457E+11,9.87654E+11
TXN00049,20-02-2024,135.49,SBI Bank,HDFC Bank,3162.11,Delhi,Female,Transfer,Success,56:25.0,Tablet,Phone Number,IRCTC,Others,29,Scheduled,USD,1.23457E+11,9.87654E+11
TXN00050,21-03-2024,1200.69,ICICI Bank,SBI Bank,1182.48,Bangalore,Male,Payment,Failed,41:40.0,Laptop,QR Code,Flipkart,Shopping,30,Instant,EUR,1.23457E+11,9.87654E+11
TXN00051,22-04-2024,290.37,Axis Bank,Axis Bank,9923.06,Hyderabad,Female,Transfer,Success,19:25.0,Mobile,UPI ID,Amazon,Food,31,Scheduled,GBP,1.23457E+11,9.87654E+11
